Province;Municipality;Barangay;storm_surge min;storm_surge max;average storm surge;Rainfall;Rainintensity;2010 mangrove cove;Population;Households;Land area (has);Urbanization (0 rural 1 urban);Income (IRA, 2013);Dead;Partially Damaged Houses;Totally Damaged Houses;Structures (o absent 1 present);Average Elevation;Avg nearest Distance of Mangrove to the Village center (meters)
Bohol;Anda;Badiang;0,1;0,2;0,1;0,833333;4,030612;62,8336;1277;277;528,725;0; 1.079.916   ;0;0;0;1;81,751634;0,002874
Bohol;Anda;Linawan;0,1;0,2;0,1;0,833333;4,030612;46,285;987;206;341,7129;0; 973.889   ;0;0;0;0;79,671693;0,006126
Bohol;Anda;Suba;0,1;0,2;0,1;0,833333;4,030612;42,0142;1125;257;95,012;0; 1.024.343   ;0;0;0;0;84,435484;0,000691
Bohol;Anda;Talisay;0,1;0,2;0,1;0,833333;4,030612;7,264607;1048;216;219,9377;0; 996.191   ;0;0;0;0;78,50754;0,008522
Bohol;Bien Unido;Liberty;0,1;0,2;0,1;0,807407;4,030612;22,5406;843;165;660,1621;1; 921.241   ;0;0;0;0;102,564675;0,007329
Bohol;Bien Unido;Mandawa;0,1;0,2;0,1;0,807407;4,030612;3,668031;2328;470;463,2287;1; 1.464.173   ;0;0;0;0;93,917624;0,010616
Bohol;Bien Unido;Nueva Esperanza;0,1;0,2;0,1;0,807407;4,030612;14,3903;2205;487;637,6563;1; 1.419.203   ;0;0;0;0;98,758367;0,006348
Bohol;Bien Unido;Nueva Estrella;0,1;0,2;0,1;0,807407;4,030612;5,296212;1576;311;329,8240;1; 1.189.234   ;0;0;0;0;100,645007;0,009265
Bohol;Bien Unido;Pinamgo;0,1;0,2;0,1;0,807407;4,030612;16,6058;2177;472;278,6528;1; 1.408.966   ;0;0;0;0;90,150966;0,004511
Bohol;Bien Unido;Puerto San Pedro;0,1;0,2;0,1;0,807407;4,030612;1,210459;1137;210;100,9120;1; 1.028.731   ;0;0;0;0;95,128205;0,006079
Bohol;Bien Unido;Tuboran;0,1;0,2;0,1;0,807407;4,030612;2,101195;955;205;103,4646;1; 962.189   ;0;0;0;0;93,1234;0,000383
Bohol;Buenavista;Asinan;0,1;0,2;0,1;0,2;2,588235;8,891435;800;157;40,33;0; 905.520   ;0;3;0;0;96,589652;0,001229
Bohol;Buenavista;Cambuhat;0,1;0,2;0,1;0,2;2,588235;243,013;1045;206;290,7;0; 995.094   ;0;1;0;0;98,085849;0
Bohol;Buenavista;Cruz;0,1;0,2;0,1;0,2;2,588235;18,3787;897;177;206,84;0; 940.984   ;0;0;0;0;96,210069;0,005064
Bohol;Buenavista;Hunan;0,1;0,2;0,1;0,2;2,588235;59,0695;882;174;123,25;0; 935.500   ;0;7;0;0;97,393987;0
Bohol;Candijay;Boyo-An;0,1;0,2;0,1;0,833333;4,030612;276,059;1612;303;733;1; 1.202.396   ;0;0;0;0;97,751123;0,000119
